company,grade,toeic,speaking,lang,cert,abr,inte,prize,vol,target
(주)마크애니,3.65,823.0,5.0,1.0,3.1,1.6,1.3,1.0,2.0,2
(주)다날,3.51,863.0,6.0,1.3,2.1,1.5,1.0,2.0,2.0,2
자라리테일코리아(주),3.59,780.0,6.0,1.3,2.5,1.4,2.2,1.4,2.2,2
대보정보통신(주),3.74,790.0,5.0,0.0,2.2,0.0,3.0,1.0,2.5,2
(주)토다이코리아,3.78,738.0,6.0,1.0,2.8,1.5,2.3,1.0,2.0,2
(주)토마토시스템,4.06,833.0,5.0,0.0,2.8,2.0,0.0,1.5,0.0,2
㈜환경과학기술,3.87,728.0,0.0,2.0,1.5,1.0,1.0,1.7,1.0,2
줌인터넷㈜,3.79,760.0,7.0,0.0,2.6,1.5,1.8,2.5,3.0,2
SK플래닛,3.64,840.0,6.0,1.0,2.3,1.1,1.3,2.2,2.0,2
㈜경봉,3.72,0.0,0.0,0.0,3.3,0.0,0.0,3.7,2.0,2
한국전파기지국㈜,3.88,775.0,0.0,0.0,2.5,0.0,2.7,0.0,1.5,2
(주)카카오,3.69,824.0,7.0,1.4,2.3,1.1,1.8,1.7,2.0,2
(주)동아지질,3.81,801.0,7.0,1.0,2.9,2.0,2.0,1.0,1.3,2
(주)삼진,3.64,723.0,0.0,3.0,2.7,1.0,0.0,1.3,2.0,2
LG CNS,3.66,839.0,6.0,1.1,2.6,1.1,1.4,1.3,1.7,2
삼성전자(주),3.8,859.0,6.0,1.2,2.4,1.4,1.4,2.1,2.2,2
국민건강보험공단일산병원,3.84,886.0,6.0,0.0,2.3,1.1,1.5,1.0,1.6,2
한국전력공사,3.76,888.0,7.0,1.3,2.7,1.3,1.4,1.7,1.9,2
GS칼텍스㈜,3.91,882.0,7.0,1.0,2.3,1.3,1.1,1.8,1.3,2
한국가스공사,3.82,844.0,6.0,1.3,3.2,1.7,1.3,1.7,1.9,2
S-OIL,3.79,891.0,6.0,1.0,2.3,1.5,1.0,1.6,1.7,2
(주)포스코,3.72,872.0,7.0,1.4,2.2,1.5,1.6,1.7,2.0,2
삼성디스플레이(주),3.72,829.0,6.0,1.3,2.1,1.5,1.2,1.8,1.8,2
기아자동차(주),3.79,891.0,7.0,1.5,2.0,1.2,1.4,1.7,1.8,2
LG전자(주),3.73,858.0,6.0,1.3,2.3,1.4,1.3,1.6,1.5,2
LG디스플레이,3.71,836.0,6.0,1.3,2.2,1.3,1.2,1.9,1.5,2
한국조선해양(주),3.81,842.0,6.0,1.2,2.3,1.4,1.3,1.7,1.5,2
SK네트웍스(주),3.84,906.0,7.0,1.0,2.1,1.3,1.2,1.6,1.8,2
현대오일뱅크(주),3.85,889.0,7.0,1.0,2.2,1.2,1.7,1.5,2.1,2
(주)LG화학,3.87,897.0,7.0,1.3,2.3,1.3,1.3,1.9,2.1,2
삼성물산(주),3.86,889.0,7.0,1.4,2.6,1.4,1.6,1.7,1.5,2
㈜KT,3.7,863.0,6.0,1.1,2.6,1.6,1.4,1.4,2.2,2
(주)포스코인터내셔널,3.73,908.0,7.0,1.5,2.4,1.6,1.3,1.8,2.0,2
롯데쇼핑(주),3.81,869.0,7.0,1.2,2.2,1.3,1.4,1.8,1.9,2
한국지엠(주),3.69,836.0,7.0,1.0,2.1,1.3,0.0,2.3,2.0,2
삼성중공업(주),3.79,829.0,6.0,1.5,2.3,1.3,1.4,1.8,1.8,2
대우조선해양(주),3.83,833.0,6.0,1.2,2.4,1.3,1.4,2.0,1.9,2
국민연금공단,3.79,819.0,6.0,1.5,3.1,1.2,1.3,2.2,1.8,2
현대제철(주),3.76,866.0,7.0,1.3,2.1,1.4,1.3,1.7,2.0,2
농업협동조합중앙회,3.71,742.0,6.0,1.0,3.7,1.1,1.9,1.3,1.7,2
롯데케미칼(주),3.81,861.0,7.0,1.2,2.3,1.2,1.3,1.7,1.6,2
(주)대한항공,3.73,859.0,7.0,1.2,2.3,1.4,1.1,1.7,1.9,2
LG유플러스,3.74,853.0,7.0,1.1,2.2,1.3,1.2,1.5,1.8,2
(주)이마트,3.67,871.0,7.0,1.0,1.9,1.2,1.7,1.6,1.6,2
현대건설(주),3.7,859.0,6.0,1.2,2.6,1.5,1.3,2.0,1.7,2
현대글로비스(주),3.8,922.0,7.0,1.4,2.7,1.5,1.4,1.5,3.3,2
㈜한진해운,3.77,924.0,7.0,1.8,2.6,1.5,1.6,1.0,2.4,2
(주)효성,3.72,895.0,7.0,1.3,1.9,1.3,1.3,2.1,1.6,2
삼성엔지니어링(주),3.71,870.0,7.0,1.3,2.2,1.4,1.3,1.6,1.8,2
(주)포스코건설,3.73,849.0,6.0,1.1,2.2,1.2,1.2,1.6,1.6,2
한국마사회,3.71,791.0,6.0,1.3,2.3,1.3,1.3,2.0,1.8,2
여천엔씨씨(주),3.57,863.0,8.0,0.0,2.3,0.0,1.0,2.0,1.3,2
LS니꼬동제련㈜,3.57,890.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,2
한국남부발전(주),3.81,846.0,5.0,1.0,4.1,1.3,1.3,2.0,2.3,2
홈플러스(주),3.78,861.0,6.0,1.0,2.4,1.3,1.4,1.8,1.7,2
한국도로공사,3.7,873.0,7.0,0.0,3.5,1.8,1.0,2.0,2.3,2
두산중공업(주),3.7,803.0,6.0,1.1,2.5,1.3,1.4,1.8,1.5,2
(주)E1,3.87,942.0,8.0,0.0,1.3,1.0,1.0,1.0,2.3,2
현대위아(주),3.77,859.0,7.0,1.3,2.4,1.3,1.4,1.9,1.6,2
삼성전기(주),3.75,853.0,6.0,1.5,2.3,1.3,1.2,1.4,2.3,2
한국서부발전(주),3.74,834.0,7.0,0.0,3.1,1.2,1.6,1.4,1.4,2
아시아나항공(주),3.75,849.0,6.0,1.2,2.2,1.3,1.2,1.4,1.5,2
현대엔지니어링(주),3.75,877.0,7.0,1.1,2.0,1.3,1.1,1.6,1.4,2
한국동서발전(주),3.68,860.0,7.0,0.0,2.9,1.0,1.7,1.8,1.6,2
(주)한화,3.82,890.0,7.0,1.1,2.4,1.3,1.4,1.4,2.8,2
삼성에스디에스(주),3.72,836.0,6.0,1.2,2.4,1.1,1.2,1.7,1.4,2
한국철도공사,3.67,858.0,6.0,1.3,3.2,1.4,1.4,2.1,3.0,2
현대종합상사㈜,3.92,815.0,7.0,1.4,1.5,2.0,1.5,1.7,1.6,2
롯데건설(주),3.81,856.0,7.0,1.4,2.4,1.4,1.2,1.7,1.4,2
고려아연(주),3.74,878.0,7.0,1.0,2.9,1.4,2.5,0.0,1.5,2
SK가스(주),3.85,929.0,7.0,0.0,3.0,1.0,1.0,1.0,3.0,2
금호석유화학(주),3.87,831.0,7.0,1.5,2.4,1.0,1.1,1.4,1.4,2
한국남동발전(주),3.69,883.0,7.0,1.0,2.4,1.5,1.4,1.0,1.8,2
동국제강(주),3.67,851.0,7.0,1.3,2.0,1.3,1.3,2.0,1.7,2
코오롱인더스트리(주),3.85,876.0,7.0,1.5,3.0,1.4,1.2,1.8,2.0,2
한국타이어앤테크놀로지(주),3.74,859.0,7.0,1.0,2.8,1.0,1.4,2.7,1.9,2
두산인프라코어(주),3.69,824.0,6.0,1.3,2.4,1.3,1.4,1.5,1.6,2
(주)한화건설,3.64,836.0,6.0,1.0,2.6,1.4,1.3,2.2,1.4,2
한국농어촌공사,3.8,795.0,7.0,1.1,2.8,1.2,2.0,1.7,1.4,2
롯데하이마트(주),3.69,832.0,6.0,1.1,2.6,1.5,1.4,1.5,2.1,2
현대삼호중공업(주),3.78,788.0,6.0,1.0,2.5,1.5,1.1,1.9,1.8,2
(주)삼천리,3.71,865.0,0.0,0.0,2.9,1.7,1.0,1.3,1.0,2
(주)현대미포조선,3.79,801.0,0.0,1.0,2.3,1.4,1.3,1.7,1.3,2
서울주택도시공사,3.81,927.0,7.0,0.0,3.2,1.7,1.3,2.0,2.7,2
LS전선㈜,3.49,830.0,7.0,1.3,2.0,1.3,1.2,2.0,1.6,2
쌍용자동차(주),3.65,821.0,5.0,0.0,2.2,1.3,1.0,0.0,1.0,2
(주)호텔롯데,3.72,854.0,6.0,1.4,2.3,1.2,1.5,1.5,1.8,2
르노삼성자동차(주),3.66,825.0,7.0,1.2,2.9,1.3,1.6,1.9,1.4,2
현대파워텍(주),3.74,821.0,6.0,1.0,1.9,1.3,1.2,1.7,1.2,2
㈜BGF리테일,3.73,827.0,6.0,1.0,2.7,1.2,1.2,1.8,2.0,2
코오롱글로벌(주),3.78,841.0,8.0,1.3,2.4,1.3,1.3,1.6,1.8,2
현대로템(주),3.75,821.0,6.0,1.3,1.9,1.5,1.1,1.4,1.5,2
삼성물산(주),3.8,864.0,7.0,1.3,2.1,1.3,1.7,2.1,2.1,2
